Overall Rank,Position Rank,Player,Team,Position,Age,Completions,Passing Attempts,Passing Yards,Passing TDs,Interceptions,Rush Attempts,Rushing Yards,Rushing Yards per Attempt,Rush TDs,Targets,Receptions,Receiving Yards,Receiving Yards per Reception,Points Per Reception,Receiving TDs,Fumbles,Fumbles Lost,Total TDs,Total Fantasy Points,VBD,Total Games Played
4,1,Josh Allen,BUF,QB,25,409,646,4407,36,15,122,763,6.25,6,0,0,0,0.0,402.6,0,8,3,6,403.0,134.0,17
6,2,Justin Herbert,LAC,QB,23,443,672,5014,38,15,63,302,4.79,3,0,0,0,0.0,380.8,0,1,1,3,381.0,112.0,17
7,3,Tom Brady,TAM,QB,44,485,719,5316,43,12,28,81,2.89,2,0,0,0,0.0,374.7,0,4,3,2,375.0,106.0,17
13,4,Patrick Mahomes,KAN,QB,26,436,658,4839,37,13,66,381,5.77,2,0,0,0,0.0,361.7,0,9,4,2,362.0,93.0,17
18,5,Aaron Rodgers,GNB,QB,38,366,531,4115,37,4,33,101,3.06,3,1,1,-4,-4.0,333.3,0,3,0,3,332.0,64.0,16
20,6,Matthew Stafford,LAR,QB,33,404,601,4886,41,17,32,43,1.34,0,0,0,0,0.0,329.7,0,5,2,0,330.0,61.0,17
23,7,Dak Prescott,DAL,QB,28,410,596,4449,37,10,48,146,3.04,1,0,0,0,0.0,320.6,0,14,6,1,321.0,52.0,16
29,8,Joe Burrow,CIN,QB,25,366,520,4611,34,14,40,118,2.95,2,0,0,0,0.0,314.2,0,5,2,2,314.0,46.0,16
31,9,Jalen Hurts,PHI,QB,23,265,432,3144,16,9,139,784,5.64,10,1,0,0,0.0,312.2,0,9,2,10,312.0,44.0,15
40,10,Kyler Murray,ARI,QB,24,333,481,3787,24,10,88,423,4.81,5,0,0,7,0.0,300.5,0,13,0,5,300.0,32.0,14
41,11,Kirk Cousins,MIN,QB,33,372,561,4221,33,7,29,115,3.97,1,0,0,0,0.0,300.3,0,12,2,1,300.0,32.0,16
78,12,Ryan Tannehill,TEN,QB,33,357,531,3734,21,14,55,270,4.91,7,0,0,0,0.0,268.4,0,10,4,7,268.0,0.0,17
79,13,Carson Wentz,IND,QB,29,322,516,3563,27,7,57,215,3.77,1,0,0,0,0.0,258.0,0,8,5,1,258.0,0.0,17
80,14,Derek Carr,LVR,QB,30,428,626,4804,23,14,40,108,2.7,0,0,0,0,0.0,257.0,0,13,5,0,257.0,0.0,17
81,15,Russell Wilson,SEA,QB,33,259,400,3113,25,6,43,183,4.26,2,0,0,0,0.0,242.8,0,6,1,2,243.0,0.0,14
82,16,Lamar Jackson,BAL,QB,24,246,382,2882,16,13,133,767,5.77,2,0,0,0,0.0,240.0,0,6,3,2,240.0,0.0,12
83,17,Jimmy Garoppolo,SFO,QB,30,301,441,3810,20,12,38,51,1.34,3,0,0,0,0.0,227.5,0,8,3,3,228.0,0.0,15
84,18,Mac Jones,NWE,QB,23,352,521,3801,22,13,44,129,2.93,0,0,0,0,0.0,224.9,0,7,3,0,225.0,0.0,17
85,19,Matt Ryan,ATL,QB,36,375,560,3968,20,12,40,82,2.05,1,0,0,0,0.0,222.9,0,11,4,1,223.0,0.0,17
86,20,Taylor Heinicke,WAS,QB,28,321,494,3419,20,15,60,313,5.22,1,1,1,-2,-2.0,222.9,0,7,2,1,222.0,0.0,16
87,21,Ben Roethlisberger,PIT,QB,39,390,605,3740,22,10,20,5,0.25,1,0,0,0,0.0,218.1,0,11,5,1,218.0,0.0,16
88,22,Teddy Bridgewater,DEN,QB,29,285,426,3052,18,7,30,106,3.53,2,0,0,0,0.0,202.7,0,1,1,2,203.0,0.0,14
89,23,Trevor Lawrence,JAX,QB,22,359,602,3641,12,17,73,334,4.58,2,0,0,0,0.0,199.0,0,9,5,2,199.0,0.0,17
90,24,Jared Goff,DET,QB,27,332,494,3245,19,8,17,87,5.12,0,0,0,0,0.0,194.5,0,9,6,0,195.0,0.0,14
91,26,Baker Mayfield,CLE,QB,26,253,418,3010,17,13,37,134,3.62,1,0,0,11,0.0,180.9,0,6,3,1,181.0,0.0,14
92,25,Tua Tagovailoa,MIA,QB,23,263,388,2653,16,10,42,128,3.05,3,0,0,0,0.0,180.9,0,9,1,3,181.0,0.0,13
93,27,Daniel Jones,NYG,QB,24,232,361,2428,10,7,62,298,4.81,2,1,1,16,16.0,167.5,0,7,3,2,167.0,0.0,11
94,28,Sam Darnold,CAR,QB,24,243,406,2527,9,13,48,222,4.63,5,0,0,0,0.0,157.3,0,9,4,5,157.0,0.0,12
95,29,Davis Mills,HOU,QB,23,263,394,2664,16,10,18,44,2.44,0,0,0,0,0.0,157.0,0,5,1,0,157.0,0.0,13
96,30,Zach Wilson,NYJ,QB,22,213,383,2334,9,11,29,185,6.38,4,1,0,0,0.0,151.9,0,5,1,4,152.0,0.0,13
99,31,Justin Fields,CHI,QB,22,159,270,1870,7,10,72,420,5.83,2,0,0,0,0.0,126.8,0,12,5,2,127.0,0.0,12
106,32,Taysom Hill,NOR,QB,31,78,134,978,4,5,70,374,5.34,5,6,4,52,13.0,121.7,0,2,0,5,118.0,0.0,12
