Overall Rank,Position Rank,Player,Team,Position,Age,Completions,Passing Attempts,Passing Yards,Passing TDs,Interceptions,Rush Attempts,Rushing Yards,Rushing Yards per Attempt,Rush TDs,Targets,Receptions,Receiving Yards,Receiving Yards per Reception,Points Per Reception,Receiving TDs,Fumbles,Fumbles Lost,Total TDs,Total Fantasy Points,VBD,Total Games Played
1,1,Jonathan Taylor,IND,RB,22,0,0,0,0,0,332,1811,5.45,18,51,40,360,9.0,373.1,2,4,2,20,333.0,187.0,17
5,2,Austin Ekeler,LAC,RB,26,0,0,0,0,0,206,911,4.42,12,94,70,647,9.24,343.8,8,4,3,20,274.0,128.0,16
11,3,Joe Mixon,CIN,RB,25,0,0,0,0,0,292,1205,4.13,13,48,42,314,7.48,287.9,3,2,1,16,246.0,100.0,16
14,4,Najee Harris,PIT,RB,23,0,0,0,0,0,307,1200,3.91,7,94,74,467,6.31,300.7,3,0,0,10,227.0,81.0,17
16,5,James Conner,ARI,RB,26,0,0,0,0,0,202,752,3.72,15,39,37,375,10.14,257.7,3,2,0,18,221.0,75.0,15
22,6,Ezekiel Elliott,DAL,RB,26,1,1,4,0,0,237,1002,4.23,10,65,47,287,6.11,252.1,2,1,1,12,205.0,59.0,17
24,7,Nick Chubb,CLE,RB,26,0,0,0,0,0,228,1259,5.52,8,25,20,174,8.7,215.3,1,2,1,9,195.0,49.0,14
28,8,Damien Harris,NWE,RB,24,0,0,0,0,0,202,929,4.6,15,21,18,132,7.33,210.1,0,2,2,15,192.0,46.0,15
32,9,Alvin Kamara,NOR,RB,26,0,0,0,0,0,240,898,3.74,4,67,47,439,9.34,234.7,5,0,0,9,188.0,42.0,13
33,10,Antonio Gibson,WAS,RB,23,0,0,0,0,0,258,1037,4.02,7,52,42,294,7.0,229.1,3,6,4,10,187.0,41.0,16
34,11,Leonard Fournette,TAM,RB,26,0,1,0,0,0,180,812,4.51,8,84,69,454,6.58,255.6,2,1,0,10,187.0,41.0,14
36,12,Cordarrelle Patterson,ATL,RB,30,0,1,0,0,0,153,618,4.04,6,69,52,548,10.54,234.6,5,2,0,11,183.0,37.0,16
42,13,Aaron Jones,GNB,RB,27,0,0,0,0,0,171,799,4.67,4,65,52,391,7.52,229.0,6,2,1,10,177.0,31.0,15
44,14,Derrick Henry,TEN,RB,27,1,1,5,1,0,219,937,4.28,10,20,18,154,8.56,193.3,0,1,0,10,175.0,29.0,8
46,15,Dalvin Cook,MIN,RB,26,0,0,0,0,0,249,1159,4.65,6,49,34,224,6.59,206.3,0,3,2,6,172.0,26.0,13
47,16,Josh Jacobs,LVR,RB,23,0,0,0,0,0,217,872,4.02,9,64,54,348,6.44,226.0,0,2,2,9,172.0,26.0,15
54,17,Melvin Gordon,DEN,RB,28,0,0,0,0,0,203,918,4.52,8,38,28,213,7.61,195.1,2,3,3,10,167.0,21.0,16
60,18,Javonte Williams,DEN,RB,21,0,0,0,0,0,203,903,4.45,4,53,43,316,7.35,204.9,3,2,1,7,162.0,16.0,17
66,19,Devin Singletary,BUF,RB,24,0,0,0,0,0,188,870,4.63,7,50,40,228,5.7,197.8,1,5,0,8,158.0,12.0,17
69,20,David Montgomery,CHI,RB,24,0,1,0,0,1,225,849,3.77,7,51,42,301,7.17,195.0,0,1,1,7,153.0,7.0,13
70,21,AJ Dillon,GNB,RB,23,0,0,0,0,0,187,803,4.29,5,37,34,313,9.21,185.6,2,2,1,7,152.0,6.0,17
72,22,Darrel Williams,KAN,RB,26,0,0,0,0,0,144,558,3.88,6,57,47,452,9.62,196.0,2,0,0,8,149.0,3.0,17
73,23,D'Andre Swift,DET,RB,22,0,1,0,0,0,151,617,4.09,5,78,62,452,7.29,208.9,2,2,1,7,147.0,1.0,13
76,24,Elijah Mitchell,SFO,RB,23,0,0,0,0,0,207,963,4.65,5,20,19,137,7.21,165.0,1,0,0,6,146.0,0.0,11
97,25,James Robinson,JAX,RB,23,0,0,0,0,0,164,767,4.68,8,46,31,222,7.16,173.9,0,4,2,8,143.0,0.0,14
98,26,Darrell Henderson,LAR,RB,24,0,0,0,0,0,149,688,4.62,5,40,29,176,6.07,163.4,3,0,0,8,134.0,0.0,12
100,28,Myles Gaskin,MIA,RB,24,0,0,0,0,0,173,612,3.54,3,63,49,234,4.78,173.6,4,2,1,7,125.0,0.0,17
101,27,Sony Michel,LAR,RB,26,0,0,0,0,0,208,845,4.06,4,33,21,128,6.1,146.3,1,1,1,5,125.0,0.0,17
105,30,Michael Carter,NYJ,RB,22,0,0,0,0,0,147,639,4.35,4,55,36,325,9.03,154.4,0,1,1,4,118.0,0.0,14
110,31,Rashaad Penny,SEA,RB,25,0,0,0,0,0,119,749,6.29,6,8,6,48,8.0,121.7,0,0,0,6,116.0,0.0,10
112,32,Devonta Freeman,BAL,RB,29,0,0,0,0,0,133,576,4.33,5,42,34,190,5.59,146.6,1,0,0,6,113.0,0.0,16
113,33,Chuba Hubbard,CAR,RB,22,0,0,0,0,0,172,612,3.56,5,37,25,174,6.96,137.6,1,1,1,6,113.0,0.0,17
115,34,Saquon Barkley,NYG,RB,24,0,0,0,0,0,162,593,3.66,2,57,41,263,6.41,148.6,2,2,1,4,108.0,0.0,13
120,35,Devontae Booker,NYG,RB,29,0,0,0,0,0,145,593,4.09,2,45,40,268,6.7,144.1,1,0,0,3,104.0,0.0,16
126,36,Rhamondre Stevenson,NWE,RB,23,0,0,0,0,0,133,606,4.56,5,18,14,123,8.79,114.9,0,2,1,5,101.0,0.0,12
127,37,Chase Edmonds,ARI,RB,25,0,0,0,0,0,116,592,5.1,2,53,43,311,7.23,143.3,0,1,1,2,100.0,0.0,12
128,38,Clyde Edwards-Helaire,KAN,RB,22,0,0,0,0,0,119,517,4.34,4,23,19,129,6.79,117.6,2,2,2,6,99.0,0.0,10
131,39,Mike Davis,ATL,RB,28,0,0,0,0,0,138,503,3.64,3,58,44,259,5.89,138.2,1,4,3,4,94.0,0.0,17
132,40,Alexander Mattison,MIN,RB,23,0,0,0,0,0,134,491,3.66,3,39,32,228,7.13,125.9,1,1,1,4,94.0,0.0,16
