Overall Rank,Position Rank,Player,Team,Position,Age,Completions,Passing Attempts,Passing Yards,Passing TDs,Interceptions,Rush Attempts,Rushing Yards,Rushing Yards per Attempt,Rush TDs,Targets,Receptions,Receiving Yards,Receiving Yards per Reception,Points Per Reception,Receiving TDs,Fumbles,Fumbles Lost,Total TDs,Total Fantasy Points,VBD,Total Games Played
8,1,Mark Andrews,BAL,TE,26,0,0,0,0,0,1,0,0.0,0,153,107,1361,12.72,301.1,9,1,0,9,194.0,102.0,17
15,2,Travis Kelce,KAN,TE,32,0,0,0,0,0,2,3,1.5,1,134,92,1125,12.23,262.8,9,1,1,10,171.0,79.0,16
35,3,Dalton Schultz,DAL,TE,25,0,0,0,0,0,0,0,0.0,0,104,78,808,10.36,208.8,8,0,0,8,131.0,39.0,17
37,4,George Kittle,SFO,TE,28,0,0,0,0,0,3,20,6.67,0,94,71,910,12.82,198.0,6,2,1,6,127.0,35.0,14
48,5,Rob Gronkowski,TAM,TE,32,0,0,0,0,0,0,0,0.0,0,89,55,802,14.58,171.2,6,0,0,6,116.0,25.0,12
50,6,Dawson Knox,BUF,TE,25,0,0,0,0,0,0,4,0.0,0,71,49,587,11.98,164.1,9,0,0,9,115.0,23.0,15
53,7,Hunter Henry,NWE,TE,27,0,0,0,0,0,0,0,0.0,0,75,50,603,12.06,164.3,9,0,0,9,114.0,23.0,17
57,8,Dallas Goedert,PHI,TE,26,0,0,0,0,0,0,0,0.0,0,76,56,830,14.82,165.0,4,1,0,4,109.0,17.0,15
59,9,Kyle Pitts,ATL,TE,21,0,0,0,0,0,0,0,0.0,0,110,68,1026,15.09,176.6,1,0,0,1,109.0,17.0,17
74,11,Mike Gesicki,MIA,TE,26,0,1,0,0,0,0,0,0.0,0,112,73,780,10.68,165.0,2,0,0,2,92.0,0.0,17
135,12,Pat Freiermuth,PIT,TE,23,0,0,0,0,0,0,0,0.0,0,79,60,497,8.28,151.7,7,1,1,7,92.0,0.0,16
139,13,Noah Fant,DEN,TE,24,0,0,0,0,0,0,0,0.0,0,90,68,670,9.85,159.0,4,0,0,4,91.0,0.0,16
147,14,Tyler Higbee,LAR,TE,28,0,0,0,0,0,0,0,0.0,0,85,61,560,9.18,147.0,5,1,0,5,86.0,0.0,15
155,15,Jared Cook,LAC,TE,34,0,0,0,0,0,0,0,0.0,0,83,48,564,11.75,132.4,4,0,0,4,84.0,0.0,16
157,16,T.J. Hockenson,DET,TE,24,0,0,0,0,0,0,0,0.0,0,84,61,583,9.56,145.3,4,0,0,4,84.0,0.0,12
169,17,C.J. Uzomah,CIN,TE,28,0,0,0,0,0,0,0,0.0,0,63,49,493,10.06,128.3,5,0,0,5,79.0,0.0,16
170,18,Darren Waller,LVR,TE,29,0,0,0,0,0,0,0,0.0,0,93,55,665,12.09,133.5,2,0,0,2,79.0,0.0,11
172,19,Tyler Conklin,MIN,TE,26,0,0,0,0,0,0,0,0.0,0,87,61,593,9.72,138.3,3,1,0,3,77.0,0.0,17
181,20,David Njoku,CLE,TE,25,0,0,0,0,0,1,1,1.0,0,53,36,475,13.19,107.6,4,0,0,4,72.0,0.0,16
183,21,Gerald Everett,SEA,TE,27,0,0,0,0,0,3,20,6.67,0,63,48,478,9.96,117.8,4,2,2,4,70.0,0.0,15
