Overall Rank,Position Rank,Player,Team,Position,Age,Completions,Passing Attempts,Passing Yards,Passing TDs,Interceptions,Rush Attempts,Rushing Yards,Rushing Yards per Attempt,Rush TDs,Targets,Receptions,Receiving Yards,Receiving Yards per Reception,Points Per Reception,Receiving TDs,Fumbles,Fumbles Lost,Total TDs,Total Fantasy Points,VBD,Total Games Played
2,1,Cooper Kupp,LAR,WR,28,0,1,0,0,0,4,18,4.5,0,191,145,1947,13.43,439.5,16,0,0,16,295.0,173.0,17
3,2,Deebo Samuel,SFO,WR,25,1,2,24,1,0,59,365,6.19,8,121,77,1405,18.25,339.0,6,4,2,14,262.0,140.0,16
9,3,Ja'Marr Chase,CIN,WR,21,0,0,0,0,0,7,21,3.0,0,128,81,1455,17.96,304.6,13,2,1,13,224.0,102.0,17
10,4,Justin Jefferson,MIN,WR,22,2,4,35,0,0,6,14,2.33,0,167,108,1616,14.96,330.4,10,1,1,10,222.0,101.0,17
12,5,Davante Adams,GNB,WR,29,0,0,0,0,0,0,0,0.0,0,169,123,1553,12.63,344.3,11,0,0,11,221.0,100.0,16
17,6,Mike Evans,TAM,WR,28,0,0,0,0,0,1,10,10.0,0,114,74,1035,13.99,262.5,14,0,0,14,189.0,67.0,16
19,7,Tyreek Hill,KAN,WR,27,0,0,0,0,0,9,96,10.67,0,159,111,1239,11.16,296.5,9,2,1,9,186.0,64.0,17
21,8,Stefon Diggs,BUF,WR,28,0,0,0,0,0,0,0,0.0,0,164,103,1225,11.89,285.5,10,1,0,10,183.0,61.0,17
25,9,Mike Williams,LAC,WR,27,0,0,0,0,0,0,0,0.0,0,129,76,1146,15.08,246.6,9,0,0,9,171.0,49.0,16
26,10,D.K. Metcalf,SEA,WR,24,0,0,0,0,0,1,6,6.0,0,129,75,967,12.89,244.3,12,1,0,12,169.0,48.0,17
27,11,Tyler Lockett,SEA,WR,29,0,0,0,0,0,2,9,4.5,0,107,73,1175,16.1,241.4,8,0,0,8,168.0,47.0,16
30,12,Diontae Johnson,PIT,WR,25,0,0,0,0,0,5,53,10.6,0,169,107,1161,10.85,274.4,8,2,2,8,167.0,46.0,16
38,13,Hunter Renfrow,LVR,WR,26,0,0,0,0,0,3,3,1.0,0,128,103,1038,10.08,259.1,9,5,1,9,156.0,35.0,17
39,14,CeeDee Lamb,DAL,WR,22,0,0,0,0,0,9,76,8.44,0,120,79,1102,13.95,232.8,6,0,0,6,154.0,32.0,16
43,15,Keenan Allen,LAC,WR,29,0,1,0,0,0,0,0,0.0,0,157,106,1138,10.74,257.8,6,1,0,6,152.0,30.0,16
45,16,Michael Pittman Jr.,IND,WR,24,0,0,0,0,0,5,44,8.8,0,129,88,1082,12.3,238.6,6,1,0,6,151.0,29.0,17
49,17,Tee Higgins,CIN,WR,22,0,0,0,0,0,0,0,0.0,0,110,74,1091,14.74,219.1,6,1,1,6,145.0,24.0,14
51,18,D.J. Moore,CAR,WR,24,0,0,0,0,0,8,48,6.0,0,163,93,1157,12.44,237.5,4,1,1,4,145.0,23.0,17
52,19,Chris Godwin,TAM,WR,25,0,0,0,0,0,4,21,5.25,1,127,98,1103,11.26,242.4,5,2,2,6,144.0,23.0,14
55,21,Jaylen Waddle,MIA,WR,23,0,0,0,0,0,2,3,1.5,1,140,104,1015,9.76,245.8,6,2,1,7,142.0,20.0,16
56,20,Brandin Cooks,HOU,WR,28,0,0,0,0,0,2,21,10.5,0,134,90,1037,11.52,231.8,6,0,0,6,142.0,20.0,16
58,22,Darnell Mooney,CHI,WR,24,0,0,0,0,0,6,32,5.33,1,140,81,1055,13.02,219.7,4,0,0,5,139.0,17.0,17
61,23,Amon-Ra St. Brown,DET,WR,22,0,0,0,0,0,7,61,8.71,1,119,90,912,10.13,227.3,5,0,0,6,137.0,16.0,17
63,24,Terry McLaurin,WAS,WR,26,0,0,0,0,0,1,12,12.0,0,130,77,1053,13.68,213.5,5,0,0,5,137.0,15.0,17
64,25,Marquise Brown,BAL,WR,24,0,0,0,0,0,1,5,5.0,0,146,91,1008,11.08,226.3,6,3,1,6,135.0,14.0,16
65,26,Amari Cooper,DAL,WR,27,0,0,0,0,0,0,0,0.0,0,104,68,865,12.72,202.5,8,1,0,8,135.0,13.0,15
67,27,Adam Thielen,MIN,WR,31,0,0,0,0,0,1,2,2.0,0,95,67,726,10.84,199.8,10,1,0,10,133.0,11.0,13
68,28,Christian Kirk,ARI,WR,25,1,1,33,0,0,1,11,11.0,0,103,77,982,12.75,207.6,5,0,0,5,131.0,9.0,17
71,29,Kendrick Bourne,NWE,WR,26,1,1,25,1,0,12,125,10.42,0,70,55,800,14.55,180.5,5,1,1,5,126.0,4.0,17
103,30,DeVonta Smith,PHI,WR,23,0,0,0,0,0,0,0,0.0,0,104,64,916,14.31,185.6,5,1,1,5,122.0,0.0,17
104,32,A.J. Brown,TEN,WR,24,0,2,0,0,0,2,10,5.0,0,105,63,869,13.79,180.9,5,0,0,5,118.0,0.0,13
107,31,Van Jefferson,LAR,WR,25,0,0,0,0,0,2,20,10.0,0,89,50,802,16.04,168.2,6,0,0,6,118.0,0.0,17
108,33,Tyler Boyd,CIN,WR,27,1,1,46,0,0,2,22,11.0,0,94,67,828,12.36,183.8,5,1,0,5,117.0,0.0,16
111,34,Brandon Aiyuk,SFO,WR,23,0,0,0,0,0,5,17,3.4,0,84,56,826,14.75,170.3,5,2,1,5,114.0,0.0,17
114,35,K.J. Osborn,MIN,WR,24,0,0,0,0,0,1,10,10.0,0,82,50,655,13.1,158.5,7,0,0,7,109.0,0.0,17
116,36,Chase Claypool,PIT,WR,23,0,0,0,0,0,14,96,6.86,0,105,59,860,14.58,166.6,2,0,0,2,108.0,0.0,15
117,37,Marvin Jones,JAX,WR,31,0,0,0,0,0,0,0,0.0,0,120,73,832,11.4,180.2,4,0,0,4,107.0,0.0,17
118,38,Marquez Callaway,NOR,WR,23,0,0,0,0,0,0,0,0.0,0,84,46,698,15.17,151.8,6,0,0,6,106.0,0.0,17
119,39,DeAndre Hopkins,ARI,WR,29,0,0,0,0,0,0,0,0.0,0,64,42,572,13.62,147.2,8,0,0,8,105.0,0.0,10
121,43,A.J. Green,ARI,WR,33,0,0,0,0,0,0,0,0.0,0,92,54,848,15.7,156.8,3,0,0,3,103.0,0.0,16
122,44,Allen Lazard,GNB,WR,26,0,0,0,0,0,3,32,10.67,0,60,40,513,12.83,142.5,8,0,0,8,103.0,0.0,15
123,41,Jakobi Meyers,NWE,WR,25,2,2,45,0,0,1,9,9.0,0,126,83,866,10.43,186.3,2,1,1,2,103.0,0.0,17
124,40,Tim Patrick,DEN,WR,28,0,0,0,0,0,0,0,0.0,0,85,53,734,13.85,156.4,5,0,0,5,103.0,0.0,16
125,42,Cedrick Wilson Jr.,DAL,WR,26,3,3,88,0,0,2,11,5.5,0,61,45,602,13.38,147.8,6,3,0,6,103.0,0.0,16
129,45,Russell Gage,ATL,WR,25,0,0,0,0,0,0,0,0.0,0,94,66,770,11.67,163.0,4,2,2,4,97.0,0.0,14
130,46,Elijah Moore,NYJ,WR,21,0,0,0,0,0,5,54,10.8,1,77,43,538,12.51,138.2,5,0,0,6,95.0,0.0,11
136,47,Courtland Sutton,DEN,WR,26,1,1,16,0,0,0,0,0.0,0,98,58,776,13.38,150.2,2,0,0,2,92.0,0.0,17
